Order	Family	Genus	Species	Binomial	Traits table filled by	body_mass	data_source_body_mass	comment_body_mass	gut_type	data_source_gut_type	comments_gut_type	group_size_summer	data_source_group_size_summer	comments_group_size_summer	group_size_winter	data_source_group_size_winter	comment_group_size_winter	Litter_clutch_size	data_source_litter_clutch_size	comment_litter_clutch_size	Population_dynamics	data_source_population_dynamics	comment_population_dynamics	Habitat_type	data_source_habitat_type	comment_habitat_type	Belowground_feeding	data_source_belowground_feeding	comment_below_ground_feeding	Mobility	data_source_mobility	comment_mobility	Human_managed	data_source_human_managed	comment_human_managed	Diet_type	data_source_diet_type	comment_diet_type	diet_item_forb	data_source_diet_item_forb	comment_diet_item_forb	diet_item_graminoid	data_source_diet_item_graminoid	comment_diet_item_graminoid	diet_item_shrub	data_source_diet_item_shrub	comment_diet_item_shrub	diet_item_moss	data_source_diet_item_moss	comment_diet_item_moss	diet_item_lichen	data_source_diet_item_lichen	comment_diet_item_lichen	wintering_strategy	data_source_wintering_strategy	comment_wintering_strategy
Rodentia	Cricetidae	Lemmus	portenkoi	Lemmus portenkoi	Dorothee Ehrich	55.76	EltonTraits		hindgut_fermenter			solitary			solitary			5.75	Chernyavskiy 2002		cyclic	Menyushina et al. 2012		terrestrial			burrowing		"but less than Dicrostonyx, and more in the vegetation layer than in the ground"	no	expert (3)		none			facultative_specialist	Chernyavskiy 2002		2	Kiriushenko and Kiriushenko 1979. Chernyavskiy et al. 1981		2	Kiriushenko and Kiriushenko 1979. Chernyavskiy et al. 1981		0	Kiriushenko and Kiriushenko 1979. Chernyavskiy et al. 1981		3	Kiriushenko and Kiriushenko 1979. Chernyavskiy et al. 1981		0	Kiriushenko and Kiriushenko 1979. Chernyavskiy et al. 1981		active_below_snow	Chernyavskiy 2002	
Rodentia	Cricetidae	Lemmus	sibiricus	Lemmus sibiricus	Dorothee Ehrich/Natasha Sokolova	52.27	EltonTraits		hindgut_fermenter	"Kopein, 1958"		solitary	"Mironov, 2003"		solitary	"Dunaeva, 1948"	originally recorded solitary or family group	6.39	PanTHERIA		cyclic	"Dunaeva, 1948 and many others"		terrestrial	"Dunaeva, 1948; Mironov, 2003"		burrowing	"Dunaeva, 1948; Danilov, 2000"	"they use burrows, though to a lesser extent than Dicrostonyx"	no	"Mironov, 2003"	4415 m2	none			facultative_generalist	Dunaeva 1948		2	"Dunaeva 1948; Kopein, 1959"		3	"Dunaeva 1948; Kopein, 1959"		1	"Dunaeva 1948; Kopein, 1959"		0	"Dunaeva 1948; Kopein, 1959"	"This is strange considering the diet of the other lemmings. Dunaeva's results are based on field observations and lemmings kept in captivity, but she writes that they don't eat mosses. The Wrangel Island results are based on microhistology of stomach contents. Our data indicate that some lemmings did eat mosses, but not all...."	0	"Dunaeva 1948; Kopein, 1959"		active_below_snow	"Dunaeva, 1948"	
Rodentia	Cricetidae	Lemmus	trimucronatus	Lemmus trimucronatus	Eeva Soininen	69.82	EltonTraits	"45,7 (Gruyer et al 2010)"	hindgut_fermenter	expert (3)		solitary	Banks et al 1975		solitary	expert (2)		6.86	PanTHERIA		cyclic	"Pitelka & Batzli 1993, Gruyer et al 2008"		terrestrial	expert (3)		burrowing	Banks et al 1975		no	expert (3)		none	expert (3)		facultative_generalist	Batzli 1993 and references therein	"I am not sure how well they would survive on only moss for a period - but they do hav a specific adaptation to digest a ""difficult food"""	1	"Batzli 1993 and references therein, Soininen et al 2015"		3	"Batzli 1993 and references therein, Soininen et al 2015"		1	"Batzli 1993 and references therein, Soininen et al 2015"	mainly low use - Soininen et al 2015 is the only study that found high proportions	3	"Batzli 1993 and references therein, Soininen et al 2015"		0	Batzli 1993 and references therein		active_below_snow	expert (3)	
Rodentia	Cricetidae	Synaptomys	borealis	Synaptomys borealis	Eeva Soininen	21.30	EltonTraits		hindgut_fermenter	expert (3)	assumed as small rodent	solitary	expert (1)	"assumed based on closely related S. cooperii, little data available for this species"	solitary	expert (1)	"assumed based on closely related S. cooperii, little data available for this species"	4.27	PanTHERIA		cyclic_noncyclic	expert (1)	"assumed based on closely related S. cooperii, little data available for this species"	terrestrial	"Naughton, Donna (Hrsg.): The Natural History of Canadian Mammals. University of Toronto Press, 2012, "		burrowing	"Naughton, Donna (Hrsg.): The Natural History of Canadian Mammals. University of Toronto Press, 2012, "		no	expert (3)	assumed based on general small rodent ecology	none			facultative_generalist	"Naughton, Donna (Hrsg.): The Natural History of Canadian Mammals. University of Toronto Press, 2012, "	"little data vailable, but reported to feed on forbs that are considered to be toxic to vertebrates"	2	"Naughton, Donna (Hrsg.): The Natural History of Canadian Mammals. University of Toronto Press, 2012, "	little data vailable	3	"Naughton, Donna (Hrsg.): The Natural History of Canadian Mammals. University of Toronto Press, 2012, "	little data vailable	1	"Naughton, Donna (Hrsg.): The Natural History of Canadian Mammals. University of Toronto Press, 2012, "	little data vailable	0	"Naughton, Donna (Hrsg.): The Natural History of Canadian Mammals. University of Toronto Press, 2012, "	little data vailable	0	"Naughton, Donna (Hrsg.): The Natural History of Canadian Mammals. University of Toronto Press, 2012, "	little data vailable	active_below_snow	"Naughton, Donna (Hrsg.): The Natural History of Canadian Mammals. University of Toronto Press, 2012, "	assumed based on general small rodent ecology
Rodentia	Cricetidae	Arvicola	amphibius	Arvicola amphibius	Katrine Hoset	120.00	EltonTraits		hindgut_fermenter			solitary	"Niethammer 1990, Nowak 1991, Jeppsson 1990"	solitary or family_group	solitary	"Niethammer 1990, Nowak 1991, Jeppsson 1990"	solitary or family_group	4.76	PanTHERIA		cyclic_noncyclic	"Saucy 1994, Aars et al. 2001, Litvinov et al. 2013"		terrestrial			burrowing	"Niethammer 1990, Nowak 1991"		no	Frafjord 2016		none			obligatory_generalist	Howes 1979		3	Howes 1979		3	Howes 1979		1	Howes 1979	originally recorded here 1 or 2 	0	Howes 1979		0	Howes 1979		active_below_snow		
Rodentia	Cricetidae	Alticola	lemminus	Alticola lemminus	Natasha Sokolova	33.56	EltonTraits		hindgut_fermenter			solitary			solitary			6.17	assumed based average of those species of the genus that are present in PanTHERIA		noncyclic	"Cassola, F. 2016. Alticola lemminus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T951A115054300. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T951A22342887.en. Downloaded on 22 September 2017."	"""population density is usually low"""	terrestrial			burrowing	expert (1)	assumed	no	expert (3)		none			facultative_specialist	"Cassola, F. 2016. Alticola lemminus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T951A115054300. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T951A22342887.en. Downloaded on 22 September 2017."		1	"Cassola, F. 2016. Alticola lemminus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T951A115054300. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T951A22342887.en. Downloaded on 22 September 2017."		1	"Cassola, F. 2016. Alticola lemminus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T951A115054300. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T951A22342887.en. Downloaded on 22 September 2017."		1	"Cassola, F. 2016. Alticola lemminus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T951A115054300. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T951A22342887.en. Downloaded on 22 September 2017."		2	"Cassola, F. 2016. Alticola lemminus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T951A115054300. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T951A22342887.en. Downloaded on 22 September 2017."		2	"Cassola, F. 2016. Alticola lemminus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T951A115054300. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T951A22342887.en. Downloaded on 22 September 2017."		active_below_snow		
Rodentia	Cricetidae	Microtus	miurus	Microtus miurus	Eeva Soininen	41.00	EltonTraits		hindgut_fermenter			solitary	"Batzli, G. O., & Henttonen, H. (1993). Home range and social organization of the singing vole (Microtus miurus). Journal of Mammalogy, 74(4), 868-878."		family_group	"Cole, F. R., & Wilson, D. E. (2010). Microtus miurus (Rodentia: Cricetidae). Mammalian Species, 42(1), 75-89."	"probably, but not certain"	3.89	PanTHERIA		cyclic_noncyclic	"Cole, F. R., & Wilson, D. E. (2010). Microtus miurus (Rodentia: Cricetidae). Mammalian Species, 42(1), 75-89."		terrestrial	"Cole, F. R., & Wilson, D. E. (2010). Microtus miurus (Rodentia: Cricetidae). Mammalian Species, 42(1), 75-89."		burrowing	"Cole, F. R., & Wilson, D. E. (2010). Microtus miurus (Rodentia: Cricetidae). Mammalian Species, 42(1), 75-89."		no	expert (3)	assumed based on general small rodent ecology	none			obligatory_generalist	"Cole, F. R., & Wilson, D. E. (2010). Microtus miurus (Rodentia: Cricetidae). Mammalian Species, 42(1), 75-89."		2	"Cole, F. R., & Wilson, D. E. (2010). Microtus miurus (Rodentia: Cricetidae). Mammalian Species, 42(1), 75-89."		2	"Cole, F. R., & Wilson, D. E. (2010). Microtus miurus (Rodentia: Cricetidae). Mammalian Species, 42(1), 75-89."		2	"Cole, F. R., & Wilson, D. E. (2010). Microtus miurus (Rodentia: Cricetidae). Mammalian Species, 42(1), 75-89."		1	"Cole, F. R., & Wilson, D. E. (2010). Microtus miurus (Rodentia: Cricetidae). Mammalian Species, 42(1), 75-89."		1	"Cole, F. R., & Wilson, D. E. (2010). Microtus miurus (Rodentia: Cricetidae). Mammalian Species, 42(1), 75-89. Baltensperger, A. P., Huettmann, F., Hagelin, J. C., & Welker, J. M. (2015). Quantifying trophic niche spaces of small mammals using stable isotopes (?15N and ?13C) at two scales across Alaska. Canadian Journal of Zoology, 93(7), 579-588."		active_below_snow	"Cole, F. R., & Wilson, D. E. (2010). Microtus miurus (Rodentia: Cricetidae). Mammalian Species, 42(1), 75-89."	
Rodentia	Cricetidae	Microtus	abbreviatus	Microtus abbreviatus	Eeva Soininen	62.00	EltonTraits		hindgut_fermenter	expert (3)	assumed as small rodent	solitary	expert (1)	"assumed based on closely related M.miurus, little data for this species"	family_group	expert (1)	"assumed based on closely related M.miurus, little data for this species, so very uncertain"	3	PanTHERIA		cyclic	"Cassola, F. 2016. Microtus abbreviatus. The IUCN Red List of Threatened Species 2016: e.T13425A22350031. http://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T13425A22350031.en. Downloaded on 21 September 2017."	uncertain but abundance fluctuates widely	terrestrial	expert (1)	"assumed based on closely related M.miurus, little data for this species"	burrowing	expert (1)	"assumed based on closely related M.miurus, little data for this species"	no	expert (3)	present only on 2 islands	none			obligatory_generalist	expert (1)	"assumed based on closely related M.miurus, little data for this species"	2	expert (1)	"assumed based on closely related M.miurus, little data for this species"	2	expert (1)	"assumed based on closely related M.miurus, little data for this species"	2	expert (1)	"assumed based on closely related M.miurus, little data for this species"	1	expert (1)	"assumed based on closely related M.miurus, little data for this species"	1	"assumed based on closely related M.miurus, little data for this species"		active_below_snow	expert (1)	"assumed based on closely related M.miurus, little data for this species"
Rodentia	Cricetidae	Microtus	oeconomus	Microtus oeconomus	Eeva Soininen	34.38	EltonTraits		hindgut_fermenter	expert (3)		solitary	Andreassen et al 1999		solitary	expert (2)		5.62	PanTHERIA		cyclic	expert (2)	Good review reference covering several populations? It is possible that tehre are some non-cyclic populations?	terrestrial	expert (3)		burrowing	expert (3)		no	expert (3)		none	expert (3)		obligatory_generalist	Soininen 2012 and references therein	reviewed in the introduction	1	Soininen 2012 and references therein	reviewed in the introduction	3	Soininen 2012 and references therein	reviewed in the introduction	2	Soininen 2012 and references therein	reviewed in the introduction	1	"Soininen 2012 and references therein, "	reviewed in the introduction	1	"Baltensperger, A. P., Huettmann, F., Hagelin, J. C., & Welker, J. M. (2015). Quantifying trophic niche spaces of small mammals using stable isotopes (?15N and ?13C) at two scales across Alaska. Canadian Journal of Zoology, 93(7), 579-588."		active_below_snow	expert (3)	
Rodentia	Cricetidae	Microtus	middendorffii	Microtus middendorffii	Natasha Sokolova	36.49	EltonTraits		hindgut_fermenter	"Schwartz, Pyastolova,1971"		solitary	"Dunaeva, 1948"		solitary	"Dunaeva, 1948"	originally recorded solitary or family group	5.49	PanTHERIA		cyclic	"Sokolova et al, 2014"		terrestrial	"Dunaeva, 1948; Sokolova, 2004; Sokolova et al, 2014"		burrowing	"Dunaeva, 1948; Schwartz, Pyastolova,1971"		no	expert (3)		none			facultative_generalist	"Dunaeva, Kucheruk, 1941"		2	"Dunaeva, Kucheruk, 1941b"		3	"Dunaeva, Kucheruk, 1941b"		2	"Dunaeva, Kucheruk, 1941b"		0	"Dunaeva, Kucheruk, 1941b"		0	"Dunaeva, Kucheruk, 1941b"		active_below_snow	"Dunaeva, 1948"	
Rodentia	Cricetidae	Microtus	gregalis	Microtus gregalis	Natasha Sokolova	47.50	EltonTraits		hindgut_fermenter	"Kopein, 1958"		family_group	"Dunaeva, 1948; Malkova et al, 2004; Zadubrovskaya, 2011; Zadubrovsky, 2013"	originally recorded here solitary or family group	solitary	"Dunaeva, 1948"	originally recorded solitary or family group	9	"Kopein, 1959"		cyclic	"Sokolova et al, 2014"		terrestrial	"Dunaeva, 1948; Sokolova, 2004; Sokolova et al, 2014"		burrowing	"Dunaeva, 1948; Palchekh et al, 2003"		no	"Palchekh, 2003"	800m in steppe zone	none			obligatory_generalist	"Kopein, 1959"		3	"Kopein, 1959"		3	"Kopein, 1959"		2	"Kopein, 1959"		0	"Kopein, 1959"		0	"Kopein, 1959"		active_below_snow	"Dunaeva, 1948"	
Rodentia	Cricetidae	Microtus	levis	Microtus levis	Katrine Hoset	35.49	EltonTraits	"F: 24.6, M: 31.2 35.49"	hindgut_fermenter			solitary	"Korpimäki 1992, Koivunen et al. 1996"	solitary or family_group	solitary	"Korpimäki 1992, Koivunen et al. 1996"	solitary or family_group	5.2	Norrdahl and Korpimäki 1993		cyclic	"Huitu et al. 2004, Korpimäki et al. 2005"		terrestrial			burrowing	expert (1)	assumed	no	expert (3)		none			obligatory_generalist	Okulova et al. 2015		3	Okulova et al. 2015		3	Okulova et al. 2015		0	Okulova et al. 2015		0	Okulova et al. 2015		0	Okulova et al. 2015		active_below_snow		
