Order	Family	Genus	Species	Binomial	Traits table filled by	body_mass	data_source_body_mass	comment_body_mass	gut_type	data_source_gut_type	comments_gut_type	group_size_summer	data_source_group_size_summer	comments_group_size_summer	group_size_winter	data_source_group_size_winter	comment_group_size_winter	Litter_clutch_size	data_source_litter_clutch_size	comment_litter_clutch_size	Population_dynamics	data_source_population_dynamics	comment_population_dynamics	Habitat_type	data_source_habitat_type	comment_habitat_type	Belowground_feeding	data_source_belowground_feeding	comment_below_ground_feeding	Mobility	data_source_mobility	comment_mobility	Human_managed	data_source_human_managed	comment_human_managed	Diet_type	data_source_diet_type	comment_diet_type	diet_item_forb	data_source_diet_item_forb	comment_diet_item_forb	diet_item_graminoid	data_source_diet_item_graminoid	comment_diet_item_graminoid	diet_item_shrub	data_source_diet_item_shrub	comment_diet_item_shrub	diet_item_moss	data_source_diet_item_moss	comment_diet_item_moss	diet_item_lichen	data_source_diet_item_lichen	comment_diet_item_lichen	wintering_strategy	data_source_wintering_strategy	comment_wintering_strategy
Rodentia	Cricetidae	Dicrostonyx	groenlandicus	Dicrostonyx groenlandicus	Eeva Soininen	54.40	EltonTraits		hindgut_fermenter	expert (3)		solitary	Brooks 1993		solitary	expert (2)		3.78	PanTHERIA		cyclic	"Pitelka & Batzli 1993, Gruyer et al 2008"		terrestrial	expert (3)		burrowing	Brooks 1993		no	expert (3)		none	expert (3)		obligatory_generalist	Batzli 1993 and references therein		3	"Batzli 1993 and references therein, Soininen et al 2015"		2	"Batzli 1993 and references therein, Soininen et al 2015"		3	"Batzli 1993 and references therein, Soininen et al 2015"		1	"Batzli 1993 and references therein, Soininen et al 2015"		1	"Batzli 1993 and references therein; Baltensperger, A. P., Huettmann, F., Hagelin, J. C., & Welker, J. M. (2015). Quantifying trophic niche spaces of small mammals using stable isotopes (?15N and ?13C) at two scales across Alaska. Canadian Journal of Zoology, 93(7), 579-588."		active_below_snow	expert (3)	
Rodentia	Cricetidae	Dicrostonyx	hudsonius	Dicrostonyx hudsonius	Nicolas Lecomte	57.00	EltonTraits		hindgut_fermenter	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.		solitary	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.		solitary	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.		3.49	PanTHERIA	median	cyclic	"Rausch, R.L. 1977. On the zoogeography of some Beringian mammals. In: V. E. Sokolov (ed.), Advances in modern theriology, pp. 162-175. Acadamy of Science, Moscow, Russia."	not much data	terrestrial	"Gabbutt, P. D. (1961). The distribution of some small mammals and their associated fleas from central Labrador. Ecology, 42(3), 518-525."	lack of data	burrowing	"Gabbutt, P. D. (1961). The distribution of some small mammals and their associated fleas from central Labrador. Ecology, 42(3), 518-525."		no	"Fulton, T. L., Norris, R. W., Graham, R. W., Semken, H. A., & Shapiro, B. (2013). Ancient DNA supports southern survival of Richardson's collared lemming (Dicrostonyx richardsoni) during the last glacial maximum. Molecular ecology, 22(9), 2540-2548."	no lemming large movement in Canada	none	expert (1)		obligatory_generalist	expert(1)		2	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	2	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	2	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	1	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	0	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	active_below_snow	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	
Rodentia	Cricetidae	Dicrostonyx	nelsoni	Dicrostonyx nelsoni	Nicolas Lecomte	60.85	EltonTraits		hindgut_fermenter	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.		solitary	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.		solitary	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.		3.5	Enclycopedia of Life		cyclic	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.		terrestrial	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.		burrowing	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.		no		no lemming large movement in Canada	none	expert (1)		obligatory_generalist	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	2	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	2	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	3	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	1	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	0	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	active_below_snow	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	
Rodentia	Cricetidae	Dicrostonyx	nunatakensis	Dicrostonyx nunatakensis	Nicolas Lecomte	60.82	EltonTraits	"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press"	hindgut_fermenter	"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press"		solitary	Slough BG and Jung TS. 2007. Diversity and distribution of the mammals of the Yukon Territory: a review. Canadian Field-Naturalist 121: 119–127.	assumed	solitary	Slough BG and Jung TS. 2007. Diversity and distribution of the mammals of the Yukon Territory: a review. Canadian Field-Naturalist 121: 119–127.	assumed	3		assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	cyclic		assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	terrestrial	Slough BG and Jung TS. 2007. Diversity and distribution of the mammals of the Yukon Territory: a review. Canadian Field-Naturalist 121: 119–127.		burrowing	Slough BG and Jung TS. 2007. Diversity and distribution of the mammals of the Yukon Territory: a review. Canadian Field-Naturalist 121: 119–127.		no	Slough BG and Jung TS. 2007. Diversity and distribution of the mammals of the Yukon Territory: a review. Canadian Field-Naturalist 121: 119–127.	no lemming large movement in Canada	none		present only in a territorial park	obligatory_generalist	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	2	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	2	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	3	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	1	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	0	encyclopedie of life; expert	assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.	active_below_snow	Slough BG and Jung TS. 2007. Diversity and distribution of the mammals of the Yukon Territory: a review. Canadian Field-Naturalist 121: 119–127.	range restricted to a nunatuak
Rodentia	Cricetidae	Dicrostonyx	richardsoni	Dicrostonyx richardsoni	Nicolas Lecomte	55.00	EltonTraits		hindgut_fermenter	"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press"		small_group	"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press"		solitary	"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press"		3.5	"Enclycopedia of Life. ... Gaida, A.M., and Brooks, R.J. 1993. Paternal care in collared lemmings Dicrostonyx richardsoni): artifact or adaptation? Arctic, 46: 312–315."		cyclic	"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press"		terrestrial	"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press"		burrowing	"Gaida, A.M., and Brooks, R.J. 1993. Paternal care in collared lemmings Dicrostonyx richardsoni): artifact or adaptation? Arctic, 46: 312–315."		no	expert	no lemming large movement in Canada	none	expert (1)		obligatory_generalist	"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press"		3	"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press"		3	"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press"		3	"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press"		0	"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press"		0	"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press"		active_below_snow	"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press"	
Rodentia	Cricetidae	Dicrostonyx	torquatus	Dicrostonyx torquatus	Natasha Sokolova	85.00	EltonTraits		hindgut_fermenter			solitary	"Dunaeva, 1948"		solitary	"Dunaeva, 1948"		3.85	PanTHERIA		cyclic	"Danilov, 2000"		terrestrial	"Dunaeva, 1948; Danilov, 2000; Sokolova, 2004"		burrowing	"Dunaeva, 1948; Danilov, 2000"		no	expert (3)		none			obligatory_generalist	"Dunaeva, Kucheruk, 1941a; Cherniavsky,Tkachev, 1982"		2	"Dunaeva, Kucheruk, 1941a; Cherniavsky,Tkachev, 1982"		2	"Dunaeva, Kucheruk, 1941a; Cherniavsky,Tkachev, 1982"		3	"Dunaeva, Kucheruk, 1941a; Cherniavsky,Tkachev, 1982"		0	"Dunaeva, Kucheruk, 1941a; Cherniavsky,Tkachev, 1982"		0	"Dunaeva, Kucheruk, 1941a; Cherniavsky,Tkachev, 1982"		active_below_snow	"Dunaeva, 1948"	
Rodentia	Cricetidae	Dicrostonyx	unalascensis	Dicrostonyx unalascensis	Eeva Soininen	60.84	EltonTraits		hindgut_fermenter	assumed because closesly related to D. Groenlandicus	little data available	solitary	assumed because closesly related to D. Groenlandicus 	little data available	solitary	assumed because closesly related to D. Groenlandicus	little data available	2.79	PanTHERIA		cyclic	"IUCN redlist (http://www.iucnredlist.org/details/summary/39974/0; citation:   Linzey, A.V. & NatureServe (Garibaldi, A. & Hammerson, G.). 2008. Dicrostonyx unalascensis. The IUCN Red List of Threatened Species 2008: e.T39974A10281541. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T39974A10281541.en. Downloaded on 21 September 2017.), assumed because closesly related to D. Groenlandicus"	little data available	terrestrial	assumed because closesly related to D. Groenlandicus 	little data available	burrowing	assumed because closesly related to D. Groenlandicus	little data available	no	expert (3)	present only on 2 islands	none	assumed because closesly related to D. Groenlandicus	little data available	obligatory_generalist	assumed because closesly related to D. Groenlandicus 	little data available	3	assumed because closesly related to D. Groenlandicus	little data available	2	assumed because closesly related to D. Groenlandicus 	little data available	3	assumed because closesly related to D. Groenlandicus 	little data available	1	assumed because closesly related to D. Groenlandicus 	little data available	0	assumed because closesly related to D. Groenlandicus 	little data available	active_below_snow	assumed because closesly related to D. Groenlandicus 	little data available
Rodentia	Cricetidae	Dicrostonyx	vinogradovi	Dicrostonyx vinogradovi	Dorothee Ehrich	60.78	EltonTraits		hindgut_fermenter			solitary	"Mironov, 2003"		solitary			6.15	Chernyavskiy 2002	"Reported for the different phases of the cycle: 5.8 in low phase, 6.0 in decrease phase and 6.4 in peak and increase. Here I took the mean of it"	cyclic	Menyushina et al. 2012		terrestrial	"Mironov, 2003"		burrowing	"Mironov, 2003"		no	"Mironov, 2003"	"for female 800-900 m2, for male 3000-4000 m2"	none			obligatory_generalist	Kiriushenko and Kiriushenko 1979	originally with a question mark	2	Kiriushenko and Kiriushenko 1979		2	Kiriushenko and Kiriushenko 1979		3	Kiriushenko and Kiriushenko 1979		0	Kiriushenko and Kiriushenko 1979		0	Kiriushenko and Kiriushenko 1979. Chernyavskiy et al. 1981		active_below_snow	Chernyavskiy 2002	
Rodentia	Cricetidae	Lemmus	amurensis	Lemmus amurensis	Natasha Sokolova	43.70	Cherniavsky (1984)		hindgut_fermenter	"Revin, 1983"		solitary			solitary			5.5	"Revin, 1983"		cyclic	expert (1)		terrestrial			burrowing	expert (1)		no	expert (3)		none			obligatory_specialist	"Revin, 1983"		1	"Revin, 1983"		1	"Revin, 1983"		0	"Revin, 1983"		3	"Revin, 1983"		0	"Revin, 1983"		active_below_snow		
Rodentia	Cricetidae	Lemmus	lemmus	Lemmus lemmus	Eeva Soininen	47.50	EltonTraits		hindgut_fermenter	expert (3)		solitary	expert (3)		solitary	expert (2)		5.1	PanTHERIA		cyclic	Stenseth & Ims 1993		terrestrial	expert (3)		burrowing	expert (3)		no	expert (3)		none	expert (3)		facultative_generalist			1	"Batzli 1993 and references therein, Soininen 2012"		3	"Batzli 1993 and references therein, Soininen 2012"		1	"Batzli 1993 and references therein, Soininen 2012"		3	"Batzli 1993 and references therein, Soininen 2012"		0	Batzli 1993 and references therein		active_below_snow	expert (3)	
